                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.93138,                 5.8017,                0.48235,                 1.2167,                 1.1995,                0.66149,                0.78436,                0.79779,                0.62819,                0.29153,                0.34975,                0.25914,                0.05203,                0.81291,                 5.7003,                0.41777,                0.94687,                 1.1305,              0.0007921,              0.0007921,              0.0007921
                     23,                0.92897,                 5.7518,                0.47917,                 1.2032,                 1.1917,                0.67445,                0.76667,                0.80125,                0.61693,                0.39078,                0.32616,                0.26595,                0.05541,                0.84099,                 5.7263,                0.40882,                 0.9462,                   1.17,              0.0007822,              0.0007822,              0.0007822
                     24,                0.91422,                 5.7156,                0.48046,                 1.1941,                 1.1925,                0.67417,                0.70607,                 0.7811,                0.60785,                0.41355,                0.31488,                0.23291,                0.04718,                0.82006,                 6.0194,                0.41811,                 1.0604,                 1.1463,              0.0007723,              0.0007723,              0.0007723
                     25,                0.92068,                 5.6625,                0.47564,                 1.1997,                 1.1973,                0.73387,                0.75493,                0.79961,                0.63264,                0.38144,                0.35141,                0.25508,                0.05321,                0.79872,                 5.6553,                 0.4097,                0.91232,                 1.1334,              0.0007624,              0.0007624,              0.0007624
                     26,                0.90642,                 5.6632,                0.47571,                 1.1723,                 1.1875,                 0.7183,                0.74934,                0.80835,                0.63933,                0.44929,                0.36021,                0.27492,                0.05325,                0.78535,                 5.5223,                0.40543,                0.89604,                 1.1128,              0.0007525,              0.0007525,              0.0007525
                     27,                 0.8982,                  5.558,                0.47444,                 1.1461,                 1.1791,                0.70912,                0.74437,                0.79625,                0.63601,                 0.4751,                0.32769,                0.26199,                0.05884,                0.80161,                 5.6013,                0.41346,                0.91309,                 1.1279,              0.0007426,              0.0007426,              0.0007426
                     28,                0.88729,                 5.5678,                0.47138,                 1.1412,                 1.1721,                0.72859,                0.76215,                0.80769,                0.63678,                0.48054,                 0.3801,                0.32558,                0.06556,                0.80167,                 5.5367,                0.41555,                0.93325,                 1.1306,              0.0007327,              0.0007327,              0.0007327
                     29,                0.89304,                 5.5293,                0.47084,                 1.1375,                 1.1721,                0.66108,                0.75139,                0.77761,                0.59608,                0.45435,                0.37273,                0.30955,                0.06996,                0.84917,                 5.6181,                0.41921,                 0.9714,                 1.1788,              0.0007228,              0.0007228,              0.0007228
                     30,                0.87662,                 5.5279,                 0.4751,                 1.1112,                 1.1698,                0.72426,                0.80089,                0.81955,                0.65186,                0.52461,                0.39335,                0.32952,                0.07578,                0.76832,                 5.3699,                0.40366,                0.90078,                 1.1097,              0.0007129,              0.0007129,              0.0007129
                     31,                0.88004,                 5.4417,                0.47164,                 1.1225,                 1.1697,                0.70859,                0.80065,                 0.8202,                0.65007,                 0.4544,                0.41082,                0.32302,                0.07335,                0.81435,                 5.3691,                0.40797,                 0.8842,                 1.1319,               0.000703,               0.000703,               0.000703
                     32,                0.87786,                 5.4307,                0.47061,                 1.1199,                 1.1608,                0.72414,                0.73311,                0.79684,                0.63344,                0.49601,                0.40864,                0.34128,                0.07684,                0.77641,                 5.4074,                 0.4019,                0.93515,                 1.1124,              0.0006931,              0.0006931,              0.0006931
                     33,                0.86216,                 5.3179,                0.46865,                 1.0952,                 1.1589,                0.71626,                0.74324,                0.81314,                0.65445,                0.50212,                0.40445,                0.36043,                0.07708,                0.77682,                 5.3844,                0.40734,                0.86164,                 1.1102,              0.0006832,              0.0006832,              0.0006832
                     34,                0.88046,                 5.3474,                0.46867,                 1.1105,                 1.1735,                0.78692,                0.71928,                0.82899,                0.67092,                0.51803,                0.39599,                0.33791,                0.07711,                0.76723,                 5.4609,                0.41336,                0.87062,                  1.109,              0.0006733,              0.0006733,              0.0006733
                     35,                0.87254,                 5.3603,                0.46405,                 1.1061,                 1.1667,                0.72351,                0.76005,                0.81258,                0.65112,                0.49377,                0.44555,                 0.3777,                0.08929,                0.76546,                 5.2364,                0.40293,                0.87267,                 1.1039,              0.0006634,              0.0006634,              0.0006634
                     36,                0.87153,                 5.3636,                0.46342,                 1.0773,                 1.1689,                0.73886,                0.74539,                0.82248,                0.66186,                0.54052,                 0.4236,                0.38465,                0.08881,                0.77195,                 5.2276,                0.40226,                0.85354,                 1.1063,              0.0006535,              0.0006535,              0.0006535
                     37,                0.85534,                  5.298,                0.46591,                 1.0699,                 1.1507,                0.78377,                0.78301,                0.85185,                0.68643,                0.53744,                0.44289,                0.37812,                0.09095,                0.76405,                 5.1497,                0.39455,                0.80059,                 1.0948,              0.0006436,              0.0006436,              0.0006436
                     38,                0.86792,                 5.2224,                0.46475,                 1.0776,                 1.1665,                0.75769,                0.75039,                0.83416,                 0.6701,                0.51806,                0.44649,                 0.3958,                0.09334,                0.77554,                 5.2205,                0.40534,                0.88316,                 1.1022,              0.0006337,              0.0006337,              0.0006337
                     39,                0.85753,                 5.1858,                0.46005,                 1.0505,                 1.1577,                0.73732,                0.76881,                0.82673,                 0.6747,                0.52295,                 0.4199,                0.37859,                 0.0908,                0.74993,                 5.3078,                  0.406,                0.85081,                 1.0924,              0.0006238,              0.0006238,              0.0006238
                     40,                0.86009,                 5.1844,                0.45673,                 1.0544,                   1.16,                0.77268,                0.77433,                0.83556,                0.66298,                0.53015,                0.43313,                0.39159,                 0.0956,                0.75431,                 5.2474,                0.40478,                 0.8208,                 1.0984,              0.0006139,              0.0006139,              0.0006139
                     41,                0.84126,                 5.1877,                0.46215,                 1.0163,                 1.1478,                0.78367,                0.71978,                0.83155,                0.66227,                0.52258,                 0.4796,                0.41171,                0.09968,                0.75382,                 5.2741,                0.40359,                0.85533,                 1.1071,               0.000604,               0.000604,               0.000604
                     42,                0.83431,                  5.118,                0.46016,                 1.0208,                 1.1485,                0.80772,                0.75561,                0.85389,                0.69083,                0.56231,                 0.4931,                0.43143,                0.09955,                0.76747,                  5.141,                0.39996,                0.80834,                 1.1038,              0.0005941,              0.0005941,              0.0005941
                     43,                0.83952,                 5.1065,                0.45985,                 1.0299,                 1.1492,                0.79312,                0.75645,                 0.8537,                 0.6808,                0.55679,                0.44201,                0.38621,                0.09292,                0.78289,                 5.2696,                0.40299,                0.80682,                 1.1136,              0.0005842,              0.0005842,              0.0005842
                     44,                0.83791,                 5.0577,                0.45839,                 1.0004,                 1.1434,                0.79957,                0.77834,                0.87317,                0.70865,                0.60529,                 0.4586,                0.44627,                0.10893,                0.74279,                 5.1417,                0.40704,                0.77777,                 1.0855,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.8378,                 5.0847,                0.45886,                 1.0164,                 1.1435,                0.74596,                0.77097,                0.84909,                0.68814,                0.61068,                0.45221,                0.41932,                0.09954,                0.76572,                 5.2397,                0.40326,                0.81731,                 1.1023,              0.0005644,              0.0005644,              0.0005644
                     46,                 0.8307,                 5.0027,                0.45527,                 1.0098,                 1.1472,                0.82117,                 0.7581,                0.86389,                0.69443,                0.57779,                0.50108,                0.45442,                 0.1151,                0.76003,                 5.0418,                0.39842,                0.78823,                 1.0897,              0.0005545,              0.0005545,              0.0005545
                     47,                0.83671,                 5.0167,                0.45242,                 1.0242,                 1.1408,                0.78872,                0.80654,                0.87264,                0.70018,                0.57005,                0.51477,                 0.4705,                0.11234,                0.74276,                 4.9089,                0.39825,                0.76262,                 1.0886,              0.0005446,              0.0005446,              0.0005446
                     48,                0.82852,                 4.9364,                0.45231,                0.97917,                 1.1407,                 0.8131,                0.78132,                0.84974,                0.69646,                0.63595,                0.50771,                0.47868,                0.11892,                0.70805,                 4.8892,                0.39643,                0.76455,                 1.0682,              0.0005347,              0.0005347,              0.0005347
                     49,                0.82075,                 4.9971,                 0.4599,                0.97804,                 1.1409,                0.77307,                0.78295,                0.84928,                0.69809,                0.59147,                0.53636,                0.47064,                0.11079,                0.72919,                 4.9179,                0.39769,                0.77834,                 1.0802,              0.0005248,              0.0005248,              0.0005248
                     50,                0.82692,                 4.9189,                 0.4527,                0.98217,                 1.1423,                0.78404,                0.77772,                0.84638,                0.69288,                0.56737,                0.50128,                0.43839,                0.10851,                 0.7231,                 5.1207,                0.39994,                0.79044,                 1.0781,              0.0005149,              0.0005149,              0.0005149
                     51,                0.81383,                 4.8993,                0.45513,                0.96714,                 1.1425,                0.81438,                0.79568,                 0.8617,                0.70822,                0.62417,                0.47961,                0.45813,                  0.116,                 0.7266,                 4.9459,                0.40007,                0.76996,                 1.0844,               0.000505,               0.000505,               0.000505
                     52,                0.80551,                 4.9225,                0.45242,                0.94367,                 1.1317,                 0.7896,                 0.7752,                0.84652,                0.69236,                0.60887,                0.49194,                0.46562,                0.11274,                0.73391,                 5.0427,                0.40326,                0.79525,                 1.0822,              0.0004951,              0.0004951,              0.0004951
                     53,                0.81043,                 4.8356,                0.44956,                0.95012,                 1.1331,                0.78656,                0.75455,                0.84419,                0.68763,                0.61817,                0.52552,                0.48723,                 0.1137,                0.72572,                 5.0118,                0.40254,                0.79447,                 1.0718,              0.0004852,              0.0004852,              0.0004852
                     54,                0.79644,                 4.8074,                0.44683,                0.93931,                 1.1244,                0.77612,                0.78259,                0.84306,                0.69487,                0.61826,                0.50253,                0.46442,                0.11561,                0.71932,                 4.9643,                0.40243,                0.78233,                 1.0575,              0.0004753,              0.0004753,              0.0004753
