epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,5431.47,0.90787,5.66869,0.47497,1.17986,1.18186,0.78145,0.70062,0.81707,0.64466,0.46927,0.35216,0.29469,0.06568,0.82433,5.56937,0.41769,0.90192,1.1587,0.0007426,0.0007426,0.0007426
28,5633.7,0.89944,5.61786,0.48142,1.16525,1.18298,0.73575,0.76814,0.82261,0.63704,0.4581,0.40063,0.33453,0.06417,0.81528,5.55232,0.41338,0.92194,1.15143,0.0007327,0.0007327,0.0007327
29,5834.08,0.89868,5.63099,0.48078,1.16338,1.18122,0.74816,0.74214,0.82414,0.65557,0.49191,0.35705,0.31637,0.06708,0.81251,5.56688,0.41423,0.88913,1.13605,0.0007228,0.0007228,0.0007228
30,6035.09,0.89939,5.57952,0.47785,1.15899,1.18117,0.71409,0.76798,0.81869,0.65101,0.44721,0.38914,0.30937,0.07121,0.78237,5.42462,0.42439,0.89999,1.11583,0.0007129,0.0007129,0.0007129
31,6235.73,0.89379,5.53747,0.47618,1.12858,1.18311,0.69047,0.77665,0.81366,0.63259,0.4808,0.36084,0.30134,0.06512,0.81563,5.42121,0.41942,0.91133,1.13413,0.000703,0.000703,0.000703
32,6436.07,0.89125,5.57772,0.47913,1.13303,1.17563,0.70733,0.72685,0.79081,0.62805,0.45976,0.33782,0.27809,0.06228,0.77524,5.6067,0.41502,0.9405,1.10741,0.0006931,0.0006931,0.0006931
33,6636.78,0.88154,5.46349,0.471,1.10539,1.17332,0.71289,0.74005,0.80807,0.63416,0.53819,0.34993,0.3119,0.07213,0.79781,5.59227,0.42761,0.86605,1.14168,0.0006832,0.0006832,0.0006832
34,6837.02,0.88305,5.4791,0.47259,1.11803,1.16795,0.79212,0.76124,0.8351,0.66039,0.4411,0.40392,0.31366,0.07213,0.77834,5.37204,0.41653,0.85307,1.11834,0.0006733,0.0006733,0.0006733
35,7037.43,0.87225,5.42534,0.47192,1.10274,1.16727,0.69802,0.78137,0.81747,0.65762,0.49587,0.3657,0.3137,0.06864,0.73817,5.48923,0.41752,0.85952,1.07668,0.0006634,0.0006634,0.0006634
36,7238.07,0.86594,5.37092,0.47105,1.08502,1.16755,0.737,0.75182,0.82016,0.66397,0.50136,0.4119,0.34373,0.08033,0.76302,5.39883,0.4165,0.83476,1.10351,0.0006535,0.0006535,0.0006535
37,7438.44,0.86531,5.37065,0.47576,1.07693,1.16485,0.73463,0.75268,0.83205,0.65747,0.48698,0.38904,0.3305,0.06735,0.7928,5.39584,0.42005,0.85199,1.1388,0.0006436,0.0006436,0.0006436
38,7638.71,0.86745,5.3602,0.47519,1.08462,1.1662,0.76899,0.78571,0.84268,0.6745,0.53487,0.44161,0.37803,0.08275,0.777,5.30896,0.41378,0.80057,1.1239,0.0006337,0.0006337,0.0006337
39,7839.09,0.8757,5.31553,0.46758,1.0768,1.16917,0.76098,0.74907,0.83194,0.67088,0.55008,0.41418,0.36645,0.08121,0.77746,5.26388,0.41099,0.84361,1.11077,0.0006238,0.0006238,0.0006238
40,8039.37,0.87087,5.32662,0.47136,1.07934,1.16359,0.797,0.76737,0.84027,0.67633,0.54333,0.46681,0.4183,0.0895,0.75142,5.20556,0.40944,0.80999,1.10355,0.0006139,0.0006139,0.0006139
41,8239.68,0.85543,5.31217,0.46751,1.04518,1.15375,0.73912,0.75847,0.83297,0.67719,0.466,0.42805,0.35196,0.08522,0.75776,5.24566,0.41074,0.84611,1.0947,0.000604,0.000604,0.000604
42,8440,0.8536,5.227,0.46621,1.06146,1.15872,0.75451,0.80459,0.8532,0.69295,0.53841,0.43231,0.39586,0.08039,0.73504,5.25377,0.41623,0.79553,1.09044,0.0005941,0.0005941,0.0005941
43,8640.41,0.85881,5.24157,0.46444,1.04148,1.15845,0.78895,0.74909,0.83862,0.67922,0.56094,0.41686,0.40002,0.08803,0.74269,5.18408,0.41564,0.7933,1.09864,0.0005842,0.0005842,0.0005842
44,8840.74,0.85462,5.22308,0.46863,1.02856,1.15254,0.77348,0.77964,0.83141,0.67466,0.61196,0.46414,0.4259,0.09871,0.74058,5.18046,0.4155,0.84325,1.10167,0.0005743,0.0005743,0.0005743
45,9041.18,0.83905,5.15247,0.46378,1.02101,1.14661,0.74287,0.78514,0.83961,0.6754,0.54611,0.4548,0.41522,0.09485,0.74943,5.18284,0.41317,0.80448,1.09245,0.0005644,0.0005644,0.0005644
46,9241.48,0.83117,5.17587,0.46689,1.01968,1.13957,0.78466,0.7882,0.8572,0.6965,0.59606,0.47801,0.41853,0.10016,0.73477,5.09639,0.41794,0.77158,1.09286,0.0005545,0.0005545,0.0005545
47,9441.92,0.84045,5.13383,0.4613,1.02338,1.14926,0.79688,0.75137,0.86001,0.68625,0.56977,0.47756,0.45226,0.10395,0.74373,5.15618,0.41319,0.79813,1.1111,0.0005446,0.0005446,0.0005446
48,9642.28,0.82309,5.06924,0.46709,0.97713,1.13412,0.75204,0.78763,0.84387,0.69115,0.58115,0.48014,0.42673,0.09903,0.71744,5.12545,0.41673,0.8001,1.0707,0.0005347,0.0005347,0.0005347
49,9842.56,0.82108,5.09419,0.46351,0.98278,1.12984,0.75021,0.79625,0.84302,0.67994,0.6008,0.50351,0.47285,0.10705,0.76493,5.02328,0.41745,0.81237,1.08949,0.0005248,0.0005248,0.0005248
50,10042.8,0.8368,5.04086,0.46039,0.9816,1.1446,0.7826,0.76584,0.85368,0.70486,0.59789,0.50581,0.46853,0.10946,0.70604,4.98489,0.41435,0.76796,1.05104,0.0005149,0.0005149,0.0005149
51,10243.2,0.8256,5.00723,0.46411,0.97015,1.13276,0.76979,0.79056,0.85847,0.70154,0.60132,0.48959,0.46085,0.10641,0.71572,4.96179,0.40335,0.75392,1.05243,0.000505,0.000505,0.000505
52,10443.4,0.80747,4.97012,0.46289,0.95,1.12551,0.77456,0.80825,0.85944,0.6991,0.56355,0.48815,0.42516,0.10455,0.73414,4.97059,0.40516,0.73814,1.07477,0.0004951,0.0004951,0.0004951
53,10643.8,0.81767,4.98666,0.4666,0.96695,1.1313,0.75281,0.75578,0.84208,0.69019,0.56254,0.45751,0.4013,0.09586,0.7255,5.08761,0.40362,0.80102,1.07264,0.0004852,0.0004852,0.0004852
54,10844.2,0.80241,4.91877,0.46076,0.93412,1.11838,0.75672,0.8033,0.86087,0.70904,0.53334,0.50266,0.4386,0.10565,0.71751,5.00341,0.40711,0.78063,1.06242,0.0004753,0.0004753,0.0004753
55,11044.6,0.80634,4.94637,0.46115,0.94527,1.11584,0.82059,0.7221,0.85905,0.70201,0.61547,0.50079,0.48002,0.11477,0.71915,5.0016,0.41164,0.75181,1.062,0.0004654,0.0004654,0.0004654
56,11245.1,0.80656,4.96938,0.45974,0.94684,1.1297,0.73671,0.81777,0.85279,0.70054,0.63552,0.45504,0.45363,0.11013,0.71792,4.93438,0.40772,0.76985,1.0733,0.0004555,0.0004555,0.0004555
57,11445.5,0.79046,4.92168,0.45838,0.91743,1.11121,0.78538,0.79783,0.86196,0.69759,0.57577,0.52961,0.4728,0.11223,0.72753,4.96641,0.4102,0.75054,1.06905,0.0004456,0.0004456,0.0004456
58,11645.8,0.81184,4.9206,0.45472,0.93795,1.12475,0.76946,0.8126,0.85446,0.69194,0.55737,0.50455,0.45526,0.11054,0.71845,4.9215,0.41635,0.7593,1.06323,0.0004357,0.0004357,0.0004357
59,11846.2,0.78377,4.85811,0.46422,0.91392,1.11235,0.78242,0.80269,0.8615,0.70627,0.62492,0.51068,0.4877,0.1137,0.70668,4.90129,0.41304,0.71512,1.0607,0.0004258,0.0004258,0.0004258
60,12048.1,0.78473,4.82416,0.45365,0.91281,1.11202,0.8239,0.7806,0.86688,0.70765,0.56118,0.51761,0.45815,0.1069,0.71822,4.9084,0.40981,0.71465,1.08827,0.0004159,0.0004159,0.0004159
61,12250.4,0.78595,4.87692,0.45695,0.9104,1.11338,0.82257,0.78089,0.87262,0.71691,0.57635,0.51512,0.47808,0.11249,0.7061,4.88577,0.41208,0.72394,1.06182,0.000406,0.000406,0.000406
62,12450.7,0.78362,4.77292,0.45492,0.90383,1.11254,0.80488,0.81449,0.86434,0.71355,0.60703,0.50165,0.48659,0.1176,0.67899,4.8408,0.41242,0.72425,1.04555,0.0003961,0.0003961,0.0003961
63,12651.3,0.78748,4.83171,0.45722,0.8994,1.11394,0.77686,0.82585,0.86603,0.71885,0.62911,0.50973,0.50124,0.11973,0.68631,4.87334,0.40897,0.70304,1.04529,0.0003862,0.0003862,0.0003862
64,12851.6,0.77955,4.78132,0.45574,0.87222,1.10688,0.75366,0.79993,0.8567,0.70379,0.54598,0.51462,0.46376,0.11656,0.70971,4.89395,0.41071,0.73165,1.05004,0.0003763,0.0003763,0.0003763
65,13052,0.78117,4.73888,0.45097,0.88554,1.11398,0.79414,0.78974,0.86398,0.71226,0.60017,0.52357,0.47795,0.11959,0.69647,4.84347,0.40942,0.71398,1.05442,0.0003664,0.0003664,0.0003664
66,13252.3,0.77248,4.70915,0.44896,0.86033,1.10241,0.75671,0.85141,0.87479,0.72205,0.62651,0.5012,0.4899,0.12085,0.69934,4.89328,0.40931,0.70822,1.0536,0.0003565,0.0003565,0.0003565
67,13452.6,0.77384,4.66761,0.44976,0.86908,1.10605,0.77497,0.81636,0.8738,0.72512,0.6008,0.54348,0.49605,0.12338,0.70409,4.76965,0.40676,0.72359,1.04558,0.0003466,0.0003466,0.0003466
68,13653,0.76879,4.68266,0.45013,0.86664,1.09949,0.78914,0.81784,0.8783,0.73082,0.6025,0.516,0.48991,0.11573,0.69086,4.86817,0.40276,0.69307,1.06111,0.0003367,0.0003367,0.0003367
69,13853.3,0.76951,4.68747,0.4533,0.86906,1.09906,0.80118,0.79642,0.87521,0.73184,0.58476,0.57641,0.50732,0.12916,0.68393,4.77944,0.40741,0.71052,1.04015,0.0003268,0.0003268,0.0003268
70,14053.7,0.75294,4.63351,0.44673,0.84734,1.09267,0.82061,0.78598,0.87155,0.72146,0.61428,0.53386,0.47378,0.11952,0.69418,4.77949,0.40336,0.71297,1.05146,0.0003169,0.0003169,0.0003169
