                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.89274,                 1.0582,                 1.1697,                0.93835,                0.93222,                0.96585,                0.81979,                0.61372,                0.48852,                0.96423,               0.006535,               0.006535,               0.006535
                     37,                0.89181,                 1.0512,                 1.1692,                0.92937,                0.94969,                0.96601,                0.82389,                0.61334,                0.46988,                0.95921,               0.006436,               0.006436,               0.006436
                     38,                0.87815,                 1.0402,                 1.1596,                0.92598,                0.95921,                0.97203,                0.81996,                 0.6221,                0.47679,                0.97086,               0.006337,               0.006337,               0.006337
                     39,                0.86381,                 1.0209,                 1.1515,                0.93629,                0.93839,                0.96871,                0.83515,                0.58401,                0.47805,                0.94971,               0.006238,               0.006238,               0.006238
                     40,                 0.8715,                 1.0168,                 1.1565,                0.94245,                0.94012,                0.97372,                0.83801,                0.58781,                0.45457,                0.95056,               0.006139,               0.006139,               0.006139
                     41,                0.86641,                 1.0123,                 1.1544,                0.93615,                0.94956,                0.97059,                0.82755,                0.59297,                0.46563,                0.95664,                0.00604,                0.00604,                0.00604
                     42,                0.85627,                 0.9961,                 1.1462,                0.94698,                0.93104,                0.96985,                0.82992,                0.61086,                0.46064,                0.95307,               0.005941,               0.005941,               0.005941
                     43,                0.86253,                0.99389,                 1.1432,                0.94021,                0.92693,                0.96918,                0.82855,                0.59682,                0.45155,                0.94689,               0.005842,               0.005842,               0.005842
                     44,                0.85439,                 0.9793,                 1.1442,                0.92916,                0.95754,                0.97001,                0.83896,                0.57703,                0.45235,                0.94085,               0.005743,               0.005743,               0.005743
                     45,                0.85626,                  0.985,                 1.1452,                0.94163,                0.94551,                0.96884,                0.83986,                0.57821,                0.43327,                0.93946,               0.005644,               0.005644,               0.005644
                     46,                0.84622,                0.97486,                 1.1379,                0.93869,                0.95152,                0.96942,                0.83985,                0.57484,                0.41936,                0.94075,               0.005545,               0.005545,               0.005545
                     47,                0.84035,                0.96543,                 1.1352,                0.93875,                0.94108,                0.96814,                0.83833,                0.58674,                0.44936,                0.94839,               0.005446,               0.005446,               0.005446
                     48,                0.83684,                0.95246,                 1.1335,                0.93426,                0.95235,                0.97039,                0.83792,                0.57683,                0.42489,                0.93585,               0.005347,               0.005347,               0.005347
                     49,                0.83652,                0.94602,                  1.131,                0.95551,                0.92335,                0.97081,                 0.8412,                0.56956,                0.43656,                0.93386,               0.005248,               0.005248,               0.005248
                     50,                0.82802,                0.93331,                 1.1272,                0.94833,                  0.951,                0.96868,                0.84293,                0.56995,                0.41728,                0.93142,               0.005149,               0.005149,               0.005149
                     51,                0.82831,                0.93378,                 1.1255,                0.93313,                0.95292,                0.97186,                0.84428,                0.57564,                 0.4268,                0.94164,                0.00505,                0.00505,                0.00505
                     52,                0.82044,                0.92249,                  1.122,                0.93301,                0.94416,                0.97377,                0.85809,                0.55069,                0.40995,                0.92047,               0.004951,               0.004951,               0.004951
                     53,                0.81682,                0.91132,                 1.1205,                 0.9336,                0.95844,                0.97062,                0.84371,                0.57114,                0.41462,                0.93377,               0.004852,               0.004852,               0.004852
                     54,                0.81381,                0.90493,                 1.1187,                0.94337,                0.94984,                0.97163,                0.84905,                   0.56,                0.41555,                0.93143,               0.004753,               0.004753,               0.004753
                     55,                 0.8182,                0.89979,                 1.1222,                   0.95,                0.96309,                0.97447,                0.84526,                0.55963,                0.40567,                0.92474,               0.004654,               0.004654,               0.004654
                     56,                0.80462,                0.89059,                 1.1131,                0.95085,                0.95357,                0.97428,                0.85507,                0.55354,                 0.3997,                0.92403,               0.004555,               0.004555,               0.004555
                     57,                0.80118,                 0.8886,                 1.1112,                 0.9339,                0.97172,                0.97163,                0.85164,                0.56352,                0.40223,                0.92678,               0.004456,               0.004456,               0.004456
                     58,                0.80344,                0.87791,                 1.1107,                0.93486,                0.95474,                0.97191,                0.84761,                0.56809,                0.41111,                0.92722,               0.004357,               0.004357,               0.004357
                     59,                0.79728,                0.87361,                 1.1062,                0.95321,                0.94966,                0.97246,                 0.8498,                0.56459,                0.40567,                0.92875,               0.004258,               0.004258,               0.004258
                     60,                 0.7919,                0.85484,                 1.1025,                 0.9418,                0.95882,                0.97484,                 0.8521,                0.55836,                0.40009,                 0.9266,               0.004159,               0.004159,               0.004159
                     61,                0.78764,                0.85652,                 1.1045,                0.94309,                0.96246,                0.97188,                0.85081,                0.55931,                0.39642,                0.92701,                0.00406,                0.00406,                0.00406
                     62,                0.79067,                0.85115,                 1.1015,                0.94928,                0.96443,                0.97078,                0.84967,                0.55158,                0.38957,                0.91903,               0.003961,               0.003961,               0.003961
                     63,                0.78527,                0.84889,                 1.1003,                0.94652,                0.95929,                0.97111,                0.84538,                0.55468,                0.39358,                0.92614,               0.003862,               0.003862,               0.003862
                     64,                 0.7828,                0.83873,                 1.0984,                0.94519,                 0.9583,                0.97365,                0.85406,                0.55344,                0.38745,                 0.9208,               0.003763,               0.003763,               0.003763
